NEGERI,SURAU,ALAMAT,POSKOD,DAERAH,NO. TELEFON,NO. FAKSIMILI
W.P. PUTRAJAYA,SURAU AL-MIZAN,"FASA 4A JALAN P8/B, PRESINT 8
62675, PUTRAJAYA.",62675,WILAYAH PERSEKUTUAN PUTRAJAYA,0192717135,0322731575
W.P. PUTRAJAYA,SURAU AL-FURQAN,"JALAN P11 A5/8, PRESINT 11, 
PUTRAJAYA.",63000,WILAYAH PERSEKUTUAN PUTRAJAYA,0192233756,0388842701
W.P. PUTRAJAYA,SURAU AR-RAHMAN,"JALAN P16D, 
PRESINT 16, PUTRAJAYA.",62250,WILAYAH PERSEKUTUAN PUTRAJAYA,0388889200,0388889200
W.P. PUTRAJAYA,SURAU AL-MUHAJIRIN,"JALAN P9G1 PRESINT 9,
PUTRAJAYA.",62250,WILAYAH PERSEKUTUAN PUTRAJAYA,0122304030,0388842701
W.P. PUTRAJAYA,SURAU PUTRA AL-AMIN,"KUARTERS KEDIAMAN KERAJAAN, FASA 4C, 
PRESINT 8, PUTRAJAYA.",62250,WILAYAH PERSEKUTUAN PUTRAJAYA,0193951481,0388842700
W.P. PUTRAJAYA,SURAU AL-MUNAWWARAH,"KUARTERS KERAJAAN PARCEL 5R3
PRESINT 5, PUTRAJAYA.",62200,WILAYAH PERSEKUTUAN PUTRAJAYA,0136920284,0388842701
W.P. PUTRAJAYA,SURAU AR-RAHIM,"LOT PT10786, JALAN P15H 1/3, 
PRESINT 15, PUTRAJAYA.",62050,WILAYAH PERSEKUTUAN PUTRAJAYA,0193385637,0388842701
W.P. PUTRAJAYA,SURAU AL-MUTTAQIN,"NO.1 JALAN P5A PARCEL 5R6,
PRESINT 5, WP PUTRAJAYA",62200,WILAYAH PERSEKUTUAN PUTRAJAYA,0166345778,0388842701
W.P. PUTRAJAYA,SURAU AL-IMAN,"NO.54, JALAN P9B1/4,
PRESINT 9, PUTRAJAYA.",62250,WILAYAH PERSEKUTUAN PUTRAJAYA,0122902641,0388842701
W.P. PUTRAJAYA,SURAU AL-MANAR,"NO.8, JALAN P14A 1/2, PRESINT 14, 
PUTRAJAYA.",62050,WILAYAH PERSEKUTUAN PUTRAJAYA,0172074144,0388842701
W.P. PUTRAJAYA,SURAU SEKOLAH SULTAN ALAM SHAH,"SEKOLAH ALAM SHAH, PARCEL G,PRESINT 1
PUTRAJAYA.",62520,WILAYAH PERSEKUTUAN PUTRAJAYA,0388883763,0388883614
W.P. PUTRAJAYA,SURAU AL-SYAKIRIN,"SEKOLAH MENENGAH KEBANGSAAN PUTRAJAYA PRESINT 14 (1),
NO. 1A JALAN P14, PUTRAJAYA.",62300,WILAYAH PERSEKUTUAN PUTRAJAYA,0340479444,0340449444
W.P. PUTRAJAYA,SURAU AN-NAJAH,"SEKOLAH RENDAH AGAMA AN-NAJAH
JALAN P9A, 
PRESINT 9, PUTRAJAYA.",62250,WILAYAH PERSEKUTUAN PUTRAJAYA,0193542980,088842701
W.P. PUTRAJAYA,SURAU MAHMOODIAH,"SRA PRESINT 18,JALAN P18C,PRESINT 18,62100 PUTRAJAYA.",62100,WILAYAH PERSEKUTUAN PUTRAJAYA,0192987981,0388842701
W.P. LABUAN,SURAU AL-HIKMAH,"BAHAGIAN HAL EHWAL ISLAM & MASJID
KAMPUS ANTARABANGSA LABUAN
JALAN JSG. PAGAR UMS-KAL
87000 W.P. LABUAN",87000,WILAYAH PERSEKUTUAN LABUAN,013-6848721,Tiada maklumat
W.P. LABUAN,SURAU UWAIS AL QARNI,"JALAN TANJUNG KUBONG
KG.PANTAI",87000,WILAYAH PERSEKUTUAN LABUAN,0111-6039091,Tiada maklumat
W.P. LABUAN,SURAU KHALID AL WALID,KAMPUNG BATU MANIKAR,87000,WILAYAH PERSEKUTUAN LABUAN,016-8396229,Tiada maklumat
W.P. LABUAN,SURAU AR-RAUDHAH,KAMPUNG BUKIT KUDA,87000,WILAYAH PERSEKUTUAN LABUAN,0168045260,Tiada maklumat
W.P. LABUAN,SURAU AL-HIJRAH,KAMPUNG SUNGAI MIRI,87000,WILAYAH PERSEKUTUAN LABUAN,019-8416564,Tiada maklumat
W.P. LABUAN,SURAU BAITUL MAKMUR,"KG. DURIAN TUNJONG
PETI SURAT 81416",87024,WILAYAH PERSEKUTUAN LABUAN,016-8404252,Tiada maklumat
W.P. LABUAN,SURAU AL-MUNAWWARAH,KG.PATAU-PATAU 1,87000,WILAYAH PERSEKUTUAN LABUAN,0138800704,Tiada maklumat
W.P. LABUAN,SURAU AN-NUR RAHIM,KG.SUNGAI BUTON,87000,WILAYAH PERSEKUTUAN LABUAN,017-8640223,Tiada maklumat
